,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
94530,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,8.4,9533.98,26/10/2019 03:30,1572060599999,9310.36,1572075899999,1,2.0
94533,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,1.74,9633.05,27/10/2019 18:30,1572200999999,9437.0,1572210899999,1,2.0
94535,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,2.56,9676.09,28/10/2019 03:30,1572233399999,9405.62,1572245099999,1,2.0
181463,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.12,155.63,29/11/2019 16:30,1575044999999,152.09,1575063899999,1,2.0
181483,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.22,131.71,22/12/2019 22:00,1577051999999,135.06,1577060999999,0,-1.22
94569,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,1.02,7559.97,23/12/2019 02:45,1577069099999,7691.0,1577117699999,0,-1.02
72923,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,2.09,205.61,28/12/2019 02:30,1577500199999,213.86,1577623499999,0,-2.09
181491,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.11,127.06,28/12/2019 07:00,1577516399999,128.94,1577555099999,0,-1.11
72928,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.01,212.53,29/12/2019 16:30,1577636999999,215.26,1577636999999,0,-1.01
181494,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,3.29,133.7,29/12/2019 21:15,1577654099999,130.9,1577717999999,1,2.0
72934,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,2.4,220.77,03/01/2020 18:30,1578076199999,227.19,1578133799999,0,-2.4
