,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
94514,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.27,8082.5,04/10/2019 05:45,1570167899999,7889.64,1570345199999,0,-1.27
94522,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.19,8177.71,15/10/2019 19:45,1571168699999,8010.64,1571226299999,0,-1.19
94539,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.65,9309.93,29/10/2019 03:45,1572320699999,9569.1,1572326099999,1,2.0
94548,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.16,8771.96,08/11/2019 16:30,1573230599999,9187.0,1573403399999,1,2.0
94550,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,2.45,7574.96,22/11/2019 08:15,1574410499999,7765.03,1574410499999,1,2.0
94551,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,3.83,7032.22,22/11/2019 15:00,1574434799999,7204.47,1574439299999,1,2.0
94555,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.85,7207.73,05/12/2019 00:45,1575506699999,7379.28,1575521099999,1,2.0
181475,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,2.09,142.02,12/12/2019 03:00,1576119599999,144.98,1576152899999,1,2.0
181481,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.74,127.54,17/12/2019 18:15,1576606499999,124.94,1576610999999,0,-1.74
94572,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.82,7358.98,24/12/2019 09:00,1577177999999,7210.0,1577204099999,0,-1.82
181489,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.48,125.06,25/12/2019 12:30,1577276999999,123.0,1577292299999,0,-1.48
72932,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bullish_divergence,2,1.33,194.64,03/01/2020 02:30,1578018599999,204.0,1578026699999,1,2.0
94584,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.25,6950.01,03/01/2020 02:45,1578019499999,7300.0,1578026699999,1,2.0
272556,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bullish_divergence,2,3.14,59.84,18/01/2020 19:45,1579376699999,62.7,1579396499999,1,2.0
258134,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bullish_divergence,2,2.02,2.572,19/01/2020 20:45,1579466699999,2.675,1579472099999,1,2.0
272558,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bullish_divergence,2,1.36,55.35,23/01/2020 16:00,1579795199999,54.51,1579797899999,0,-1.36
442728,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bullish_divergence,2,1.32,0.05764,23/01/2020 20:30,1579811399999,0.05686,1579811399999,0,-1.32
258139,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bullish_divergence,2,2.17,2.484,23/01/2020 11:45,1579779899999,2.427,1579832099999,0,-2.17
173035,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bullish_divergence,2,2.27,3.576,23/01/2020 15:30,1579793399999,3.493,1579832999999,0,-2.27
177378,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bullish_divergence,2,2.08,8.346,23/01/2020 20:30,1579811399999,8.517,1579817699999,1,2.0
417753,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bullish_divergence,2,1.8,0.01613,23/01/2020 20:30,1579811399999,0.0156,1579834799999,0,-1.8
181517,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.17,161.3,23/01/2020 21:00,1579813199999,158.0,1579834799999,0,-1.17
181517,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.17,161.3,23/01/2020 21:00,1579813199999,158.0,1579834799999,0,-1.17
417753,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bullish_divergence,2,1.8,0.01613,23/01/2020 20:30,1579811399999,0.0156,1579834799999,0,-1.8
181517,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.17,161.3,23/01/2020 21:00,1579813199999,158.0,1579834799999,0,-1.17
177378,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bullish_divergence,2,2.08,8.346,23/01/2020 20:30,1579811399999,8.517,1579817699999,1,2.0
417753,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bullish_divergence,2,1.8,0.01613,23/01/2020 20:30,1579811399999,0.0156,1579834799999,0,-1.8
181517,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.17,161.3,23/01/2020 21:00,1579813199999,158.0,1579834799999,0,-1.17
72943,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bullish_divergence,2,1.65,311.79,24/01/2020 05:45,1579844699999,301.93,1579857299999,0,-1.65
272560,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bullish_divergence,2,2.44,52.54,24/01/2020 05:45,1579844699999,50.77,1579858199999,0,-2.44
177380,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bullish_divergence,2,3.76,8.138,24/01/2020 05:30,1579843799999,8.75,1579866299999,1,2.0
417755,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bullish_divergence,2,2.38,0.01598,24/01/2020 05:45,1579844699999,0.01638,1579868099999,1,2.0
453930,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bullish_divergence,2,1.51,0.2514,03/02/2020 14:45,1580741099999,0.2475,1580745599999,0,-1.51
258152,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bullish_divergence,2,2.12,2.734,04/02/2020 11:30,1580815799999,2.806,1580881499999,1,2.0
11785,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bullish_divergence,2,2.21,0.05528,04/02/2020 12:00,1580817599999,0.05662,1580831099999,1,2.0
