,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
94536,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,2.56,9676.09,28/10/2019 03:30,1572233399999,9405.62,1572245099999,1,2.0,1,1
72919,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.04,188.51,20/12/2019 15:15,1576854899999,192.92,1577036699999,0,-1.04,1,1
181504,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,1.46,133.1,04/01/2020 01:15,1578100499999,135.8,1578163499999,0,-1.46,1,1
173013,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,1.85,2.969,11/01/2020 02:15,1578708899999,3.047,1578726899999,0,-1.85,1,1
272543,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,1.1,49.4,11/01/2020 03:00,1578711599999,48.28,1578716999999,1,2.0,1,2
173016,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,2.23,2.983,11/01/2020 10:45,1578739499999,3.086,1578759299999,0,-2.23,1,1
181510,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,2.54,153.79,14/01/2020 16:30,1579019399999,159.55,1579021199999,0,-2.54,1,1
272548,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,5.31,54.77,14/01/2020 16:30,1579019399999,58.33,1579022099999,0,-5.31,1,2
94595,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.57,8726.01,14/01/2020 19:30,1579030199999,8893.0,1579045499999,0,-1.57,1,1
453912,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,3.95,0.2361,14/01/2020 19:30,1579030199999,0.231,1579036499999,1,2.0,1,2
173024,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,8.01,3.765,14/01/2020 20:00,1579031999999,3.644,1579061699999,1,2.0,1,3
94598,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.9,8748.71,15/01/2020 01:15,1579050899999,8570.52,1579065299999,1,2.0,1,2
