,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
94520,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,2.0,8286.65,13/10/2019 20:15,1570997699999,8080.0,1571156999999,1,2.0,1,1
94531,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,8.61,9512.54,26/10/2019 07:30,1572074999999,9310.36,1572075899999,1,2.0,1,1
94534,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,2.12,9595.54,27/10/2019 21:00,1572209999999,9930.13,1572226199999,0,-2.12,1,1
94537,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,2.56,9676.09,28/10/2019 03:30,1572233399999,9405.62,1572245099999,1,2.0,1,1
181464,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.64,154.82,29/11/2019 16:45,1575045899999,151.45,1575123299999,1,2.0,1,1
181473,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,3.9,150.15,08/12/2019 19:45,1575834299999,146.55,1575907199999,1,2.0,1,1
72920,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,1.35,187.93,20/12/2019 15:30,1576855799999,192.92,1577036699999,0,-1.35,1,1
181484,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.49,131.35,22/12/2019 22:15,1577052899999,135.06,1577060999999,0,-1.49,1,1
181487,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.35,133.26,23/12/2019 04:45,1577076299999,128.0,1577122199999,1,2.0,1,1
94570,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,1.2,7546.0,23/12/2019 06:00,1577080799999,7691.0,1577117699999,0,-1.2,1,2
72922,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,1.21,190.56,27/12/2019 11:45,1577447099999,192.9,1577456999999,0,-1.21,1,1
72924,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,1.95,205.9,28/12/2019 06:45,1577515499999,213.86,1577623499999,0,-1.95,1,1
181492,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.11,127.06,28/12/2019 07:00,1577516399999,128.94,1577555099999,0,-1.11,1,2
181495,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,3.29,133.7,29/12/2019 21:15,1577654099999,130.9,1577717999999,1,2.0,1,1
94587,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,1.32,7271.41,03/01/2020 14:15,1578060899999,7385.0,1578068099999,0,-1.32,1,1
72935,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,3.59,218.07,03/01/2020 19:15,1578078899999,227.19,1578133799999,0,-3.59,1,1
94590,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,1.39,7304.49,03/01/2020 19:15,1578078899999,7485.0,1578187799999,0,-1.39,1,2
181502,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.65,132.71,03/01/2020 19:15,1578078899999,135.07,1578094199999,0,-1.65,1,3
181505,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.46,133.1,04/01/2020 01:15,1578100499999,135.8,1578163499999,0,-1.46,1,3
72938,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,2.25,242.51,07/01/2020 04:00,1578369599999,235.2,1578402899999,1,2.0,1,1
173011,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_ema21,2,2.52,2.905,10/01/2020 22:15,1578694499999,3.006,1578700799999,0,-2.52,1,1
181507,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,2.38,141.7,10/01/2020 22:15,1578694499999,145.2,1578706199999,0,-2.38,1,2
272541,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_ema21,2,3.28,48.0,10/01/2020 22:15,1578694499999,49.9,1578706199999,0,-3.28,1,3
173014,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_ema21,2,2.25,2.957,11/01/2020 03:15,1578712499999,3.047,1578726899999,0,-2.25,-1,-1
