,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
94511,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.47,10296.15,13/09/2019 05:30,1568352599999,10024.81,1568512799999,1,2.0,1,1
94518,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.93,8161.38,08/10/2019 08:15,1570522499999,8430.0,1570631399999,0,-1.93,1,1
94521,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,2.0,8286.65,13/10/2019 20:15,1570997699999,8080.0,1571156999999,1,2.0,1,1
94526,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.32,8009.82,18/10/2019 05:30,1571376599999,7821.01,1571377499999,1,2.0,1,1
94538,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,4.65,9468.45,28/10/2019 06:45,1572245099999,9254.47,1572267599999,1,2.0,1,1
94547,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.37,9327.12,05/11/2019 06:15,1572934499999,9130.0,1573130699999,1,2.0,1,1
181465,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.62,153.27,29/11/2019 21:30,1575062999999,150.0,1575135899999,1,2.0,1,1
181474,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,4.24,149.62,09/12/2019 01:45,1575855899999,146.55,1575907199999,1,2.0,1,1
181488,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.1,132.25,23/12/2019 06:00,1577080799999,128.0,1577122199999,1,2.0,1,1
94571,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,2.18,7471.31,23/12/2019 06:45,1577083499999,7691.0,1577117699999,0,-2.18,1,2
